[2026-09-07 18:41:11] INFO T1 retrieval adaptation start | run=cross_dataset_t1/pems04_head_adapter_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\cross_dataset_t1\pems04_head_adapter_seed42
[2026-09-07 18:41:11] INFO Data | steps=16992 | nodes=307 | channels=1 | train/val/test=11595/1400/3100
[2026-09-07 18:41:11] INFO Transfer | stage=t1_head_adapter | source=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_hn_offset_decay_v2_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt | source_fingerprint=7f34ac9201d35bc36e99778540e8b27cfccbffd6c4096fb79bb0fdfa6c93da74 | graph_fingerprint=efcbdc0fddbd1170bce9e4a8cdbe1c4f1f0e52dd327d8353e7ffc5fe8f69c79b
[2026-09-07 18:41:11] INFO Parameters | total=958,704 | trainable=66,208 | trainable_tensors=11 | prefixes=retrieval_head.pool_projection.,retrieval_head.pool_score.,retrieval_head.key_mlp.,retrieval_head.domain_adapter.
[2026-09-07 18:41:11] INFO Optimization | epochs=8 | batch_size=16 | lr=0.0003 | weight_decay=0.0001 | relation_weight=1.000 | distill_weight=0.050 | reconstruction_weight=0
[2026-09-07 18:41:11] INFO Epoch 001/008 started | train_batches=725 | val_batches=88
[2026-09-07 18:41:12] INFO Epoch 001 | train batch=1/725 | elapsed=0.0 min | eta=7.7 min
[2026-09-07 18:41:13] INFO Epoch 001 | train batch=10/725 | elapsed=0.0 min | eta=2.3 min
[2026-09-07 18:41:14] INFO Epoch 001 | train batch=20/725 | elapsed=0.1 min | eta=1.9 min
[2026-09-07 18:41:16] INFO Epoch 001 | train batch=30/725 | elapsed=0.1 min | eta=1.8 min
[2026-09-07 18:41:17] INFO Epoch 001 | train batch=40/725 | elapsed=0.1 min | eta=1.7 min
[2026-09-07 18:41:18] INFO Epoch 001 | train batch=50/725 | elapsed=0.1 min | eta=1.7 min
[2026-09-07 18:41:20] INFO Epoch 001 | train batch=60/725 | elapsed=0.1 min | eta=1.6 min
[2026-09-07 18:41:21] INFO Epoch 001 | train batch=70/725 | elapsed=0.2 min | eta=1.6 min
[2026-09-07 18:41:23] INFO Epoch 001 | train batch=80/725 | elapsed=0.2 min | eta=1.6 min
[2026-09-07 18:41:24] INFO Epoch 001 | train batch=90/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-07 18:41:25] INFO Epoch 001 | train batch=100/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-07 18:41:27] INFO Epoch 001 | train batch=110/725 | elapsed=0.3 min | eta=1.5 min
[2026-09-07 18:41:28] INFO Epoch 001 | train batch=120/725 | elapsed=0.3 min | eta=1.5 min
[2026-09-07 18:41:30] INFO Epoch 001 | train batch=130/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-07 18:41:31] INFO Epoch 001 | train batch=140/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-07 18:41:33] INFO Epoch 001 | train batch=150/725 | elapsed=0.4 min | eta=1.4 min
[2026-09-07 18:41:34] INFO Epoch 001 | train batch=160/725 | elapsed=0.4 min | eta=1.4 min
[2026-09-07 18:41:35] INFO Epoch 001 | train batch=170/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-07 18:41:37] INFO Epoch 001 | train batch=180/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-07 18:41:38] INFO Epoch 001 | train batch=190/725 | elapsed=0.5 min | eta=1.3 min
[2026-09-07 18:41:40] INFO Epoch 001 | train batch=200/725 | elapsed=0.5 min | eta=1.3 min
[2026-09-07 18:41:41] INFO Epoch 001 | train batch=210/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-07 18:41:42] INFO Epoch 001 | train batch=220/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-07 18:41:44] INFO Epoch 001 | train batch=230/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-07 18:41:45] INFO Epoch 001 | train batch=240/725 | elapsed=0.6 min | eta=1.2 min
[2026-09-07 18:41:47] INFO Epoch 001 | train batch=250/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:41:48] INFO Epoch 001 | train batch=260/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:41:50] INFO Epoch 001 | train batch=270/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:41:51] INFO Epoch 001 | train batch=280/725 | elapsed=0.7 min | eta=1.1 min
[2026-09-07 18:41:52] INFO Epoch 001 | train batch=290/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:41:54] INFO Epoch 001 | train batch=300/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:41:55] INFO Epoch 001 | train batch=310/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:41:57] INFO Epoch 001 | train batch=320/725 | elapsed=0.8 min | eta=1.0 min
[2026-09-07 18:41:58] INFO Epoch 001 | train batch=330/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:42:00] INFO Epoch 001 | train batch=340/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:42:01] INFO Epoch 001 | train batch=350/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:42:02] INFO Epoch 001 | train batch=360/725 | elapsed=0.9 min | eta=0.9 min
[2026-09-07 18:42:04] INFO Epoch 001 | train batch=370/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-07 18:42:05] INFO Epoch 001 | train batch=380/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-07 18:42:07] INFO Epoch 001 | train batch=390/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-07 18:42:08] INFO Epoch 001 | train batch=400/725 | elapsed=1.0 min | eta=0.8 min
[2026-09-07 18:42:10] INFO Epoch 001 | train batch=410/725 | elapsed=1.0 min | eta=0.8 min
[2026-09-07 18:42:11] INFO Epoch 001 | train batch=420/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-07 18:42:12] INFO Epoch 001 | train batch=430/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-07 18:42:14] INFO Epoch 001 | train batch=440/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-07 18:42:15] INFO Epoch 001 | train batch=450/725 | elapsed=1.1 min | eta=0.7 min
[2026-09-07 18:42:17] INFO Epoch 001 | train batch=460/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-07 18:42:18] INFO Epoch 001 | train batch=470/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-07 18:42:20] INFO Epoch 001 | train batch=480/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-07 18:42:21] INFO Epoch 001 | train batch=490/725 | elapsed=1.2 min | eta=0.6 min
[2026-09-07 18:42:22] INFO Epoch 001 | train batch=500/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:42:24] INFO Epoch 001 | train batch=510/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:42:25] INFO Epoch 001 | train batch=520/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:42:27] INFO Epoch 001 | train batch=530/725 | elapsed=1.3 min | eta=0.5 min
[2026-09-07 18:42:28] INFO Epoch 001 | train batch=540/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:42:30] INFO Epoch 001 | train batch=550/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:42:31] INFO Epoch 001 | train batch=560/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:42:33] INFO Epoch 001 | train batch=570/725 | elapsed=1.4 min | eta=0.4 min
[2026-09-07 18:42:34] INFO Epoch 001 | train batch=580/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:42:35] INFO Epoch 001 | train batch=590/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:42:37] INFO Epoch 001 | train batch=600/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:42:38] INFO Epoch 001 | train batch=610/725 | elapsed=1.5 min | eta=0.3 min
[2026-09-07 18:42:40] INFO Epoch 001 | train batch=620/725 | elapsed=1.5 min | eta=0.3 min
[2026-09-07 18:42:41] INFO Epoch 001 | train batch=630/725 | elapsed=1.5 min | eta=0.2 min
[2026-09-07 18:42:43] INFO Epoch 001 | train batch=640/725 | elapsed=1.5 min | eta=0.2 min
[2026-09-07 18:42:44] INFO Epoch 001 | train batch=650/725 | elapsed=1.6 min | eta=0.2 min
[2026-09-07 18:42:45] INFO Epoch 001 | train batch=660/725 | elapsed=1.6 min | eta=0.2 min
[2026-09-07 18:42:47] INFO Epoch 001 | train batch=670/725 | elapsed=1.6 min | eta=0.1 min
[2026-09-07 18:42:48] INFO Epoch 001 | train batch=680/725 | elapsed=1.6 min | eta=0.1 min
[2026-09-07 18:42:50] INFO Epoch 001 | train batch=690/725 | elapsed=1.6 min | eta=0.1 min
[2026-09-07 18:42:51] INFO Epoch 001 | train batch=700/725 | elapsed=1.7 min | eta=0.1 min
[2026-09-07 18:42:53] INFO Epoch 001 | train batch=710/725 | elapsed=1.7 min | eta=0.0 min
[2026-09-07 18:42:54] INFO Epoch 001 | train batch=720/725 | elapsed=1.7 min | eta=0.0 min
[2026-09-07 18:42:55] INFO Epoch 001 | train batch=725/725 | elapsed=1.7 min | eta=0.0 min
[2026-09-07 18:42:55] INFO Epoch 001 | val batch=1/88 | elapsed=0.0 min | eta=0.2 min
[2026-09-07 18:42:56] INFO Epoch 001 | val batch=10/88 | elapsed=0.0 min | eta=0.2 min
[2026-09-07 18:42:58] INFO Epoch 001 | val batch=20/88 | elapsed=0.0 min | eta=0.2 min
[2026-09-07 18:42:59] INFO Epoch 001 | val batch=30/88 | elapsed=0.1 min | eta=0.1 min
[2026-09-07 18:43:00] INFO Epoch 001 | val batch=40/88 | elapsed=0.1 min | eta=0.1 min
[2026-09-07 18:43:02] INFO Epoch 001 | val batch=50/88 | elapsed=0.1 min | eta=0.1 min
[2026-09-07 18:43:03] INFO Epoch 001 | val batch=60/88 | elapsed=0.1 min | eta=0.1 min
[2026-09-07 18:43:04] INFO Epoch 001 | val batch=70/88 | elapsed=0.2 min | eta=0.0 min
[2026-09-07 18:43:06] INFO Epoch 001 | val batch=80/88 | elapsed=0.2 min | eta=0.0 min
[2026-09-07 18:43:07] INFO Epoch 001 | val batch=88/88 | elapsed=0.2 min | eta=0.0 min
[2026-09-07 18:43:07] INFO Epoch 001 | train_total=2.339601 | train_relation=2.335645 | train_distill=0.079106 | val_total=1.862617 | val_relation=1.857896 | val_distill=0.094411 | val_anchors=429800 | val_candidates=3989772 | val_teacher_keff=2.804 | val_student_keff=5.692 | seconds(train/val)=103.82/12.16
[2026-09-07 18:43:07] INFO Checkpoint updated | epoch=1 | best_val_relation=1.857896 | path=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\cross_dataset_t1\pems04_head_adapter_seed42\retrieval_t1_best.pt
[2026-09-07 18:43:07] INFO Epoch 002/008 started | train_batches=725 | val_batches=88
[2026-09-07 18:43:07] INFO Epoch 002 | train batch=1/725 | elapsed=0.0 min | eta=1.8 min
[2026-09-07 18:43:08] INFO Epoch 002 | train batch=10/725 | elapsed=0.0 min | eta=1.7 min
[2026-09-07 18:43:10] INFO Epoch 002 | train batch=20/725 | elapsed=0.0 min | eta=1.7 min
[2026-09-07 18:43:11] INFO Epoch 002 | train batch=30/725 | elapsed=0.1 min | eta=1.7 min
[2026-09-07 18:43:13] INFO Epoch 002 | train batch=40/725 | elapsed=0.1 min | eta=1.6 min
[2026-09-07 18:43:14] INFO Epoch 002 | train batch=50/725 | elapsed=0.1 min | eta=1.6 min
[2026-09-07 18:43:16] INFO Epoch 002 | train batch=60/725 | elapsed=0.1 min | eta=1.6 min
[2026-09-07 18:43:17] INFO Epoch 002 | train batch=70/725 | elapsed=0.2 min | eta=1.6 min
[2026-09-07 18:43:19] INFO Epoch 002 | train batch=80/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-07 18:43:20] INFO Epoch 002 | train batch=90/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-07 18:43:21] INFO Epoch 002 | train batch=100/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-07 18:43:23] INFO Epoch 002 | train batch=110/725 | elapsed=0.3 min | eta=1.5 min
[2026-09-07 18:43:24] INFO Epoch 002 | train batch=120/725 | elapsed=0.3 min | eta=1.5 min
[2026-09-07 18:43:26] INFO Epoch 002 | train batch=130/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-07 18:43:27] INFO Epoch 002 | train batch=140/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-07 18:43:29] INFO Epoch 002 | train batch=150/725 | elapsed=0.4 min | eta=1.4 min
[2026-09-07 18:43:30] INFO Epoch 002 | train batch=160/725 | elapsed=0.4 min | eta=1.4 min
[2026-09-07 18:43:31] INFO Epoch 002 | train batch=170/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-07 18:43:33] INFO Epoch 002 | train batch=180/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-07 18:43:34] INFO Epoch 002 | train batch=190/725 | elapsed=0.5 min | eta=1.3 min
[2026-09-07 18:43:36] INFO Epoch 002 | train batch=200/725 | elapsed=0.5 min | eta=1.3 min
[2026-09-07 18:43:37] INFO Epoch 002 | train batch=210/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-07 18:43:39] INFO Epoch 002 | train batch=220/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-07 18:43:40] INFO Epoch 002 | train batch=230/725 | elapsed=0.6 min | eta=1.2 min
[2026-09-07 18:43:42] INFO Epoch 002 | train batch=240/725 | elapsed=0.6 min | eta=1.2 min
[2026-09-07 18:43:43] INFO Epoch 002 | train batch=250/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:43:44] INFO Epoch 002 | train batch=260/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:43:46] INFO Epoch 002 | train batch=270/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-07 18:43:47] INFO Epoch 002 | train batch=280/725 | elapsed=0.7 min | eta=1.1 min
[2026-09-07 18:43:49] INFO Epoch 002 | train batch=290/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:43:50] INFO Epoch 002 | train batch=300/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:43:52] INFO Epoch 002 | train batch=310/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-07 18:43:53] INFO Epoch 002 | train batch=320/725 | elapsed=0.8 min | eta=1.0 min
[2026-09-07 18:43:55] INFO Epoch 002 | train batch=330/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:43:56] INFO Epoch 002 | train batch=340/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:43:57] INFO Epoch 002 | train batch=350/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-07 18:43:59] INFO Epoch 002 | train batch=360/725 | elapsed=0.9 min | eta=0.9 min
[2026-09-07 18:44:00] INFO Epoch 002 | train batch=370/725 | elapsed=0.9 min | eta=0.9 min
[2026-09-07 18:44:02] INFO Epoch 002 | train batch=380/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-07 18:44:03] INFO Epoch 002 | train batch=390/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-07 18:44:05] INFO Epoch 002 | train batch=400/725 | elapsed=1.0 min | eta=0.8 min
[2026-09-07 18:44:06] INFO Epoch 002 | train batch=410/725 | elapsed=1.0 min | eta=0.8 min
[2026-09-07 18:44:08] INFO Epoch 002 | train batch=420/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-07 18:44:09] INFO Epoch 002 | train batch=430/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-07 18:44:10] INFO Epoch 002 | train batch=440/725 | elapsed=1.1 min | eta=0.7 min
[2026-09-07 18:44:12] INFO Epoch 002 | train batch=450/725 | elapsed=1.1 min | eta=0.7 min
[2026-09-07 18:44:13] INFO Epoch 002 | train batch=460/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-07 18:44:15] INFO Epoch 002 | train batch=470/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-07 18:44:16] INFO Epoch 002 | train batch=480/725 | elapsed=1.2 min | eta=0.6 min
[2026-09-07 18:44:18] INFO Epoch 002 | train batch=490/725 | elapsed=1.2 min | eta=0.6 min
[2026-09-07 18:44:19] INFO Epoch 002 | train batch=500/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:44:20] INFO Epoch 002 | train batch=510/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:44:22] INFO Epoch 002 | train batch=520/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-07 18:44:23] INFO Epoch 002 | train batch=530/725 | elapsed=1.3 min | eta=0.5 min
[2026-09-07 18:44:25] INFO Epoch 002 | train batch=540/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:44:26] INFO Epoch 002 | train batch=550/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:44:28] INFO Epoch 002 | train batch=560/725 | elapsed=1.3 min | eta=0.4 min
[2026-09-07 18:44:29] INFO Epoch 002 | train batch=570/725 | elapsed=1.4 min | eta=0.4 min
[2026-09-07 18:44:31] INFO Epoch 002 | train batch=580/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:44:32] INFO Epoch 002 | train batch=590/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:44:33] INFO Epoch 002 | train batch=600/725 | elapsed=1.4 min | eta=0.3 min
[2026-09-07 18:44:35] INFO Epoch 002 | train batch=610/725 | elapsed=1.5 min | eta=0.3 min
[2026-09-07 18:44:36] INFO Epoch 002 | train batch=620/725 | elapsed=1.5 min | eta=0.3 min
[2026-09-07 18:44:38] INFO Epoch 002 | train batch=630/725 | elapsed=1.5 min | eta=0.2 min
[2026-09-07 18:44:39] INFO Epoch 002 | train batch=640/725 | elapsed=1.5 min | eta=0.2 min
[2026-09-07 18:44:41] INFO Epoch 002 | train batch=650/725 | elapsed=1.6 min | eta=0.2 min
[2026-09-07 18:44:42] INFO Epoch 002 | train batch=660/725 | elapsed=1.6 min | eta=0.2 min
[2026-09-07 18:44:44] INFO Epoch 002 | train batch=670/725 | elapsed=1.6 min | eta=0.1 min
[2026-09-07 18:44:45] INFO Epoch 002 | train batch=680/725 | elapsed=1.6 min | eta=0.1 min
[2026-09-07 18:44:46] INFO Epoch 002 | train batch=690/725 | elapsed=1.7 min | eta=0.1 min
[2026-09-07 18:44:48] INFO Epoch 002 | train batch=700/725 | elapsed=1.7 min | eta=0.1 min
