[2026-09-07 19:11:48] INFO T1 retrieval adaptation start | run=cross_dataset_t1/pems08_head_adapter_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\cross_dataset_t1\pems08_head_adapter_seed42
[2026-09-07 19:11:48] INFO Data | steps=17856 | nodes=170 | channels=1 | train/val/test=12200/1486/3273
[2026-09-07 19:11:48] INFO Transfer | stage=t1_head_adapter | source=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_hn_offset_decay_v2_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt | source_fingerprint=7f34ac9201d35bc36e99778540e8b27cfccbffd6c4096fb79bb0fdfa6c93da74 | graph_fingerprint=4b5345d012175b7f875409f84195048c08d29b5201b853c008768c628937f4bf
[2026-09-07 19:11:48] INFO Parameters | total=958,704 | trainable=66,208 | trainable_tensors=11 | prefixes=retrieval_head.pool_projection.,retrieval_head.pool_score.,retrieval_head.key_mlp.,retrieval_head.domain_adapter.
[2026-09-07 19:11:48] INFO Optimization | epochs=8 | batch_size=16 | lr=0.0003 | weight_decay=0.0001 | relation_weight=1.000 | distill_weight=0.050 | reconstruction_weight=0
[2026-09-07 19:11:48] INFO Epoch 001/008 started | train_batches=763 | val_batches=93
[2026-09-07 19:11:49] INFO Epoch 001 | train batch=1/763 | elapsed=0.0 min | eta=7.3 min
[2026-09-07 19:11:49] INFO Epoch 001 | train batch=10/763 | elapsed=0.0 min | eta=1.7 min
[2026-09-07 19:11:50] INFO Epoch 001 | train batch=20/763 | elapsed=0.0 min | eta=1.4 min
[2026-09-07 19:11:51] INFO Epoch 001 | train batch=30/763 | elapsed=0.1 min | eta=1.3 min
[2026-09-07 19:11:52] INFO Epoch 001 | train batch=40/763 | elapsed=0.1 min | eta=1.2 min
[2026-09-07 19:11:53] INFO Epoch 001 | train batch=50/763 | elapsed=0.1 min | eta=1.2 min
[2026-09-07 19:11:54] INFO Epoch 001 | train batch=60/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-07 19:11:55] INFO Epoch 001 | train batch=70/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-07 19:11:56] INFO Epoch 001 | train batch=80/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-07 19:11:57] INFO Epoch 001 | train batch=90/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-07 19:11:58] INFO Epoch 001 | train batch=100/763 | elapsed=0.2 min | eta=1.0 min
[2026-09-07 19:11:58] INFO Epoch 001 | train batch=110/763 | elapsed=0.2 min | eta=1.0 min
