[2026-09-07 15:35:45] INFO T1 retrieval adaptation start | run=cross_dataset_t1/pemsbay_head_adapter_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\cross_dataset_t1\pemsbay_head_adapter_seed42
[2026-09-07 15:35:45] INFO Data | steps=52116 | nodes=325 | channels=1 | train/val/test=36182/4912/10125
[2026-09-07 15:35:45] INFO Transfer | stage=t1_head_adapter | source=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_hn_offset_decay_v2_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt | source_fingerprint=7f34ac9201d35bc36e99778540e8b27cfccbffd6c4096fb79bb0fdfa6c93da74 | graph_fingerprint=e4774416a2be331d44d76a98399fb95689b724f06d65d8e24f601a3a40178db0
[2026-09-07 15:35:45] INFO Parameters | total=958,704 | trainable=66,208 | trainable_tensors=11 | prefixes=retrieval_head.pool_projection.,retrieval_head.pool_score.,retrieval_head.key_mlp.,retrieval_head.domain_adapter.
[2026-09-07 15:35:45] INFO Optimization | epochs=8 | batch_size=16 | lr=0.0003 | weight_decay=0.0001 | relation_weight=1.000 | distill_weight=0.050 | reconstruction_weight=0
[2026-09-07 15:35:45] INFO Epoch 001/008 started | train_batches=2262 | val_batches=307
[2026-09-07 15:35:45] INFO Epoch 001 | train batch=1/2262 | elapsed=0.0 min | eta=29.3 min
[2026-09-07 15:35:47] INFO Epoch 001 | train batch=10/2262 | elapsed=0.0 min | eta=9.7 min
[2026-09-07 15:35:49] INFO Epoch 001 | train batch=20/2262 | elapsed=0.1 min | eta=8.6 min
[2026-09-07 15:35:51] INFO Epoch 001 | train batch=30/2262 | elapsed=0.1 min | eta=8.2 min
[2026-09-07 15:35:53] INFO Epoch 001 | train batch=40/2262 | elapsed=0.1 min | eta=8.0 min
[2026-09-07 15:35:56] INFO Epoch 001 | train batch=50/2262 | elapsed=0.2 min | eta=8.0 min
[2026-09-07 15:35:58] INFO Epoch 001 | train batch=60/2262 | elapsed=0.2 min | eta=7.9 min
[2026-09-07 15:36:00] INFO Epoch 001 | train batch=70/2262 | elapsed=0.2 min | eta=7.8 min
[2026-09-07 15:36:02] INFO Epoch 001 | train batch=80/2262 | elapsed=0.3 min | eta=7.8 min
[2026-09-07 15:36:04] INFO Epoch 001 | train batch=90/2262 | elapsed=0.3 min | eta=7.7 min
[2026-09-07 15:36:06] INFO Epoch 001 | train batch=100/2262 | elapsed=0.4 min | eta=7.7 min
[2026-09-07 15:36:08] INFO Epoch 001 | train batch=110/2262 | elapsed=0.4 min | eta=7.6 min
[2026-09-07 15:36:10] INFO Epoch 001 | train batch=120/2262 | elapsed=0.4 min | eta=7.6 min
[2026-09-07 15:36:12] INFO Epoch 001 | train batch=130/2262 | elapsed=0.5 min | eta=7.5 min
[2026-09-07 15:36:14] INFO Epoch 001 | train batch=140/2262 | elapsed=0.5 min | eta=7.5 min
[2026-09-07 15:36:16] INFO Epoch 001 | train batch=150/2262 | elapsed=0.5 min | eta=7.4 min
[2026-09-07 15:36:18] INFO Epoch 001 | train batch=160/2262 | elapsed=0.6 min | eta=7.4 min
