[2026-07-24 12:19:14] INFO Pretraining start | run=metrla_e3_relation_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e3_relation_seed42
[2026-07-24 12:19:14] INFO Data | steps=34272 | nodes=207 | channels=1 | train/val/test=22681/2993/6025 | dropped_unobserved=1010/135/531
[2026-07-24 12:19:14] INFO Tensor contract | retrieval_x=[B,288,207,1] | forecast_x=[B,12,207,1] | patches=24 | hidden=96 | retrieval_dim=48 | y=[B,12,207,1] | graph_edges=1722
[2026-07-24 12:19:14] INFO Parameters | total=391,836 | trainable=391,836 | embedding=30,432 | encoder=336,864 | retrieval_head=23,376 | reconstruction_head=1,164
[2026-07-24 12:19:14] INFO Optimization | epochs=50 | batch_size=16 | lr=0.001 | weight_decay=0.0001 | time_mask=0.250 | time_mask_block=36 steps | space_mask=0.250 | retrieval_loss=relation | retrieval_weight=0.100 | student_tau=0.100 | teacher_tau=0.100 | patience=10
[2026-07-24 12:19:14] INFO Epoch 001/050 started | train_batches=1418 | val_batches=188
[2026-07-24 12:19:15] INFO Epoch 001 | train batch=1/1418 | elapsed=0.0 min | eta=25.3 min
[2026-07-24 12:19:18] INFO Epoch 001 | train batch=10/1418 | elapsed=0.1 min | eta=11.4 min
[2026-07-24 12:19:23] INFO Epoch 001 | train batch=20/1418 | elapsed=0.1 min | eta=10.4 min
[2026-07-24 12:19:27] INFO Epoch 001 | train batch=30/1418 | elapsed=0.2 min | eta=10.2 min
[2026-07-24 12:19:31] INFO Epoch 001 | train batch=40/1418 | elapsed=0.3 min | eta=10.1 min
[2026-07-24 12:19:35] INFO Epoch 001 | train batch=50/1418 | elapsed=0.4 min | eta=9.9 min
[2026-07-24 12:19:39] INFO Epoch 001 | train batch=60/1418 | elapsed=0.4 min | eta=9.7 min
[2026-07-24 12:19:44] INFO Epoch 001 | train batch=70/1418 | elapsed=0.5 min | eta=9.6 min
[2026-07-24 12:19:48] INFO Epoch 001 | train batch=80/1418 | elapsed=0.6 min | eta=9.6 min
[2026-07-24 12:19:52] INFO Epoch 001 | train batch=90/1418 | elapsed=0.6 min | eta=9.6 min
[2026-07-24 12:19:57] INFO Epoch 001 | train batch=100/1418 | elapsed=0.7 min | eta=9.5 min
[2026-07-24 12:20:01] INFO Epoch 001 | train batch=110/1418 | elapsed=0.8 min | eta=9.4 min
[2026-07-24 12:20:05] INFO Epoch 001 | train batch=120/1418 | elapsed=0.9 min | eta=9.3 min
[2026-07-24 12:20:09] INFO Epoch 001 | train batch=130/1418 | elapsed=0.9 min | eta=9.2 min
[2026-07-24 12:20:14] INFO Epoch 001 | train batch=140/1418 | elapsed=1.0 min | eta=9.1 min
[2026-07-24 12:20:18] INFO Epoch 001 | train batch=150/1418 | elapsed=1.1 min | eta=9.0 min
