[2026-08-13 09:39:04] INFO Pretraining start | run=metrla_e5_final_sym_profile_local12_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_final_sym_profile_local12_seed42
[2026-08-13 09:39:04] INFO Data | steps=34272 | nodes=207 | channels=1 | train/val/test=22817/3240/6224 | dropped_unobserved=1150/164/608
[2026-08-13 09:39:04] INFO Tensor contract | retrieval_x=[B,12,207,1] | forecast_x=[B,12,207,1] | patches=12 | hidden=96 | retrieval_dim=48 | y=[B,12,207,1] | graph_edges=1722
[2026-08-13 09:39:04] INFO Parameters | total=389,713 | trainable=389,713 | embedding=29,376 | encoder=336,864 | retrieval_head=23,376 | reconstruction_head=97
[2026-08-13 09:39:04] INFO Optimization | epochs=50 | batch_size=16 | lr=0.001 | weight_decay=0.0001 | time_mask=0.250 | time_mask_block=3 steps | space_mask=0.250 | retrieval_loss=relation | teacher_mode=offset_decay | distance_normalization=symmetric_geometric_mean | future_increment_weight=0.000 | retrieval_weight=0.100 | student_tau=0.100 | teacher_tau=0.100 | patience=10
[2026-08-13 09:39:04] INFO Epoch 001/050 started | train_batches=1427 | val_batches=203
[2026-08-13 09:39:05] INFO Epoch 001 | train batch=1/1427 | elapsed=0.0 min | eta=19.3 min
[2026-08-13 09:39:07] INFO Epoch 001 | train batch=10/1427 | elapsed=0.1 min | eta=8.5 min
[2026-08-13 09:39:10] INFO Epoch 001 | train batch=20/1427 | elapsed=0.1 min | eta=7.2 min
[2026-08-13 09:39:13] INFO Epoch 001 | train batch=30/1427 | elapsed=0.1 min | eta=6.9 min
[2026-08-13 09:39:16] INFO Epoch 001 | train batch=40/1427 | elapsed=0.2 min | eta=6.9 min
[2026-08-13 09:39:18] INFO Epoch 001 | train batch=50/1427 | elapsed=0.2 min | eta=6.7 min
[2026-08-13 09:39:21] INFO Epoch 001 | train batch=60/1427 | elapsed=0.3 min | eta=6.5 min
[2026-08-13 09:39:23] INFO Epoch 001 | train batch=70/1427 | elapsed=0.3 min | eta=6.3 min
[2026-08-13 09:39:26] INFO Epoch 001 | train batch=80/1427 | elapsed=0.4 min | eta=6.2 min
[2026-08-13 09:39:29] INFO Epoch 001 | train batch=90/1427 | elapsed=0.4 min | eta=6.1 min
[2026-08-13 09:39:31] INFO Epoch 001 | train batch=100/1427 | elapsed=0.5 min | eta=6.0 min
[2026-08-13 09:39:34] INFO Epoch 001 | train batch=110/1427 | elapsed=0.5 min | eta=6.0 min
[2026-08-13 09:39:36] INFO Epoch 001 | train batch=120/1427 | elapsed=0.5 min | eta=5.9 min
[2026-08-13 09:39:39] INFO Epoch 001 | train batch=130/1427 | elapsed=0.6 min | eta=5.9 min
[2026-08-13 09:39:42] INFO Epoch 001 | train batch=140/1427 | elapsed=0.6 min | eta=5.8 min
[2026-08-13 09:39:45] INFO Epoch 001 | train batch=150/1427 | elapsed=0.7 min | eta=5.8 min
