[2026-08-19 00:55:31] INFO Pretraining start | run=metrla_e5_tgge_latent48_v2_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_latent48_v2_seed42
[2026-08-19 00:55:31] INFO Data | steps=34272 | nodes=207 | channels=1 | train/val/test=22681/2993/6025 | dropped_unobserved=1010/135/531
[2026-08-19 00:55:31] INFO Tensor contract | retrieval_x=[B,288,207,1] | forecast_x=[B,12,207,1] | patches=24 | hidden=80 | retrieval_dim=48 | y=[B,12,207,1] | graph_edges=1722
[2026-08-19 00:55:31] INFO Parameters | total=303,727 | trainable=303,727 | embedding=25,360 | encoder=260,467 | route_attention=25,827 | dynamics_adapter=0 | retrieval_head=16,928 | reconstruction_head=972
[2026-08-19 00:55:31] INFO Route | enabled=True | top_k=10 | local_quota=4 | route_dim=16 | prior_weight=0.250 | temperature=0.100 | gate_bias=-2.000 | parameters=25,827
[2026-08-19 00:55:31] INFO Optimization | epochs=50 | batch_size=16 | lr=0.001 | weight_decay=0.0001 | time_mask=0.250 | time_mask_block=36 steps | space_mask=0.250 | retrieval_loss=relation | teacher_mode=offset_decay | distance_normalization=symmetric_geometric_mean | future_increment_weight=0.000 | retrieval_weight=0.100 | student_tau=0.100 | teacher_tau=0.100 | adapter=none | adapter_bottleneck=16 | patience=10
[2026-08-19 00:55:31] INFO Epoch 001/050 started | train_batches=1418 | val_batches=188
[2026-08-19 00:55:33] INFO Epoch 001 | train batch=1/1418 | elapsed=0.0 min | eta=37.1 min
[2026-08-19 00:55:40] INFO Epoch 001 | train batch=10/1418 | elapsed=0.1 min | eta=19.9 min
[2026-08-19 00:55:48] INFO Epoch 001 | train batch=20/1418 | elapsed=0.3 min | eta=19.0 min
[2026-08-19 00:55:56] INFO Epoch 001 | train batch=30/1418 | elapsed=0.4 min | eta=18.7 min
[2026-08-19 00:56:04] INFO Epoch 001 | train batch=40/1418 | elapsed=0.5 min | eta=18.6 min
[2026-08-19 00:56:12] INFO Epoch 001 | train batch=50/1418 | elapsed=0.7 min | eta=18.3 min
[2026-08-19 00:56:20] INFO Epoch 001 | train batch=60/1418 | elapsed=0.8 min | eta=18.2 min
[2026-08-19 00:56:28] INFO Epoch 001 | train batch=70/1418 | elapsed=0.9 min | eta=18.1 min
[2026-08-19 00:56:36] INFO Epoch 001 | train batch=80/1418 | elapsed=1.1 min | eta=18.0 min
[2026-08-19 00:56:44] INFO Epoch 001 | train batch=90/1418 | elapsed=1.2 min | eta=17.8 min
[2026-08-19 00:56:52] INFO Epoch 001 | train batch=100/1418 | elapsed=1.3 min | eta=17.7 min
[2026-08-19 00:57:00] INFO Epoch 001 | train batch=110/1418 | elapsed=1.5 min | eta=17.6 min
[2026-08-19 00:57:08] INFO Epoch 001 | train batch=120/1418 | elapsed=1.6 min | eta=17.4 min
[2026-08-19 00:57:16] INFO Epoch 001 | train batch=130/1418 | elapsed=1.7 min | eta=17.3 min
[2026-08-19 00:57:24] INFO Epoch 001 | train batch=140/1418 | elapsed=1.9 min | eta=17.1 min
[2026-08-19 00:57:32] INFO Epoch 001 | train batch=150/1418 | elapsed=2.0 min | eta=17.0 min
[2026-08-19 00:57:40] INFO Epoch 001 | train batch=160/1418 | elapsed=2.1 min | eta=16.8 min
[2026-08-19 00:57:48] INFO Epoch 001 | train batch=170/1418 | elapsed=2.3 min | eta=16.7 min
[2026-08-19 00:57:56] INFO Epoch 001 | train batch=180/1418 | elapsed=2.4 min | eta=16.6 min
[2026-08-19 00:58:04] INFO Epoch 001 | train batch=190/1418 | elapsed=2.5 min | eta=16.4 min
[2026-08-19 00:58:12] INFO Epoch 001 | train batch=200/1418 | elapsed=2.7 min | eta=16.3 min
[2026-08-19 00:58:20] INFO Epoch 001 | train batch=210/1418 | elapsed=2.8 min | eta=16.1 min
[2026-08-19 00:58:28] INFO Epoch 001 | train batch=220/1418 | elapsed=2.9 min | eta=16.0 min
[2026-08-19 00:58:36] INFO Epoch 001 | train batch=230/1418 | elapsed=3.1 min | eta=15.9 min
[2026-08-19 00:58:44] INFO Epoch 001 | train batch=240/1418 | elapsed=3.2 min | eta=15.8 min
[2026-08-19 00:58:52] INFO Epoch 001 | train batch=250/1418 | elapsed=3.3 min | eta=15.6 min
[2026-08-19 00:59:00] INFO Epoch 001 | train batch=260/1418 | elapsed=3.5 min | eta=15.5 min
[2026-08-19 00:59:08] INFO Epoch 001 | train batch=270/1418 | elapsed=3.6 min | eta=15.4 min
[2026-08-19 00:59:16] INFO Epoch 001 | train batch=280/1418 | elapsed=3.8 min | eta=15.2 min
[2026-08-19 00:59:24] INFO Epoch 001 | train batch=290/1418 | elapsed=3.9 min | eta=15.1 min
[2026-08-19 00:59:32] INFO Epoch 001 | train batch=300/1418 | elapsed=4.0 min | eta=15.0 min
[2026-08-19 00:59:41] INFO Epoch 001 | train batch=310/1418 | elapsed=4.2 min | eta=14.8 min
[2026-08-19 00:59:48] INFO Epoch 001 | train batch=320/1418 | elapsed=4.3 min | eta=14.7 min
[2026-08-19 00:59:56] INFO Epoch 001 | train batch=330/1418 | elapsed=4.4 min | eta=14.6 min
[2026-08-19 01:00:04] INFO Epoch 001 | train batch=340/1418 | elapsed=4.5 min | eta=14.4 min
[2026-08-19 01:00:12] INFO Epoch 001 | train batch=350/1418 | elapsed=4.7 min | eta=14.3 min
[2026-08-19 01:00:20] INFO Epoch 001 | train batch=360/1418 | elapsed=4.8 min | eta=14.2 min
[2026-08-19 01:00:29] INFO Epoch 001 | train batch=370/1418 | elapsed=5.0 min | eta=14.0 min
[2026-08-19 01:00:37] INFO Epoch 001 | train batch=380/1418 | elapsed=5.1 min | eta=13.9 min
[2026-08-19 01:00:45] INFO Epoch 001 | train batch=390/1418 | elapsed=5.2 min | eta=13.8 min
[2026-08-19 01:00:53] INFO Epoch 001 | train batch=400/1418 | elapsed=5.4 min | eta=13.6 min
[2026-08-19 01:01:01] INFO Epoch 001 | train batch=410/1418 | elapsed=5.5 min | eta=13.5 min
[2026-08-19 01:01:09] INFO Epoch 001 | train batch=420/1418 | elapsed=5.6 min | eta=13.4 min
[2026-08-19 01:01:17] INFO Epoch 001 | train batch=430/1418 | elapsed=5.8 min | eta=13.2 min
[2026-08-19 01:01:25] INFO Epoch 001 | train batch=440/1418 | elapsed=5.9 min | eta=13.1 min
[2026-08-19 01:01:33] INFO Epoch 001 | train batch=450/1418 | elapsed=6.0 min | eta=13.0 min
[2026-08-19 01:01:41] INFO Epoch 001 | train batch=460/1418 | elapsed=6.2 min | eta=12.8 min
[2026-08-19 01:01:49] INFO Epoch 001 | train batch=470/1418 | elapsed=6.3 min | eta=12.7 min
[2026-08-19 01:01:57] INFO Epoch 001 | train batch=480/1418 | elapsed=6.4 min | eta=12.6 min
[2026-08-19 01:02:05] INFO Epoch 001 | train batch=490/1418 | elapsed=6.6 min | eta=12.4 min
[2026-08-19 01:02:13] INFO Epoch 001 | train batch=500/1418 | elapsed=6.7 min | eta=12.3 min
[2026-08-19 01:02:21] INFO Epoch 001 | train batch=510/1418 | elapsed=6.8 min | eta=12.2 min
[2026-08-19 01:02:29] INFO Epoch 001 | train batch=520/1418 | elapsed=7.0 min | eta=12.0 min
[2026-08-19 01:02:37] INFO Epoch 001 | train batch=530/1418 | elapsed=7.1 min | eta=11.9 min
[2026-08-19 01:02:45] INFO Epoch 001 | train batch=540/1418 | elapsed=7.2 min | eta=11.8 min
[2026-08-19 01:02:53] INFO Epoch 001 | train batch=550/1418 | elapsed=7.4 min | eta=11.6 min
[2026-08-19 01:03:01] INFO Epoch 001 | train batch=560/1418 | elapsed=7.5 min | eta=11.5 min
[2026-08-19 01:03:09] INFO Epoch 001 | train batch=570/1418 | elapsed=7.6 min | eta=11.3 min
[2026-08-19 01:03:17] INFO Epoch 001 | train batch=580/1418 | elapsed=7.8 min | eta=11.2 min
