selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.17401032438619807,0.23825353106704866,252620
pretrained,kendall,0.12038706642907133,0.16595206148539188,252620
pretrained,recall_at_1,0.0417702478030243,0.20006372535144457,252620
pretrained,ndcg_at_5,0.1911133139548367,0.1937197899296941,252620
pretrained,recall_at_5,0.10278283587997782,0.14477853852428868,252620
raw_l1,spearman,0.07673632137778232,0.1612245801150876,252620
raw_l1,kendall,0.05209524353855545,0.10980340153986326,252620
raw_l1,recall_at_1,0.037380254928350884,0.18969178018523206,252620
raw_l1,ndcg_at_5,0.1669826532227145,0.18242873140096869,252620
raw_l1,recall_at_5,0.08446362124930727,0.12765652055589383,252620
random,spearman,-0.007443424425890358,0.16404323566730472,252620
random,kendall,-0.004693089347648591,0.11155411870549677,252620
random,recall_at_1,0.029368221043464492,0.16883639606496786,252620
random,ndcg_at_5,0.1462683012886696,0.16674579416926685,252620
random,recall_at_5,0.07146860897791149,0.11622402715293531,252620
