selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.4382930507340822,0.23636215317831655,1596400
pretrained,kendall,0.31401887388176103,0.1740182798412164,1596400
pretrained,recall_at_1,0.054295289401152594,0.2265994504627001,1596400
pretrained,ndcg_at_5,0.2797529693434195,0.2212144318315935,1596400
pretrained,recall_at_5,0.15392583312453023,0.19832586087701617,1596400
raw_l1,spearman,0.13071358546825962,0.1682470848326461,1596400
raw_l1,kendall,0.08840840330310203,0.1143481304983874,1596400
raw_l1,recall_at_1,0.03152593335003758,0.17473422354091536,1596400
raw_l1,ndcg_at_5,0.19850419849943815,0.18590318407577547,1596400
raw_l1,recall_at_5,0.09711914307191176,0.14734217386177498,1596400
random,spearman,0.01324621611875845,0.1511630102213748,1596400
random,kendall,0.009268783717745668,0.10260279324203814,1596400
random,recall_at_1,0.023700200451014782,0.15211344762905252,1596400
random,ndcg_at_5,0.17769303394676017,0.16736254690727287,1596400
random,recall_at_5,0.07941894262089709,0.12595423051807997,1596400
