selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.2735167353908757,0.2982308115118062,1596400
pretrained,kendall,0.20017415310771583,0.22985514393001066,1596400
pretrained,recall_at_1,0.05954522676021047,0.2366423308080902,1596400
pretrained,ndcg_at_5,0.2799511481110129,0.24700256128186301,1596400
pretrained,recall_at_5,0.21969706840390885,0.1964954757772483,1596400
raw_l1,spearman,0.07511638123337032,0.25820555857969657,1596400
raw_l1,kendall,0.05564691056267036,0.20080917638821125,1596400
raw_l1,recall_at_1,0.06199511400651466,0.2411466770366822,1596400
raw_l1,ndcg_at_5,0.21164792248520178,0.22505518889139314,1596400
raw_l1,recall_at_5,0.17726208970182925,0.20855206095440945,1596400
random,spearman,0.07409815574766389,0.24474633448242206,1596400
random,kendall,0.05544586513576346,0.19026034098319058,1596400
random,recall_at_1,0.04707404159358557,0.21179725258282026,1596400
random,ndcg_at_5,0.23811896030240084,0.23333856084899585,1596400
random,recall_at_5,0.17989376096216478,0.17212046948197382,1596400
