
===== 2026-09-18T02:14:37.485569 pems08_retrieval_finetune =====
C:\Users\clw\anaconda\envs\experiment\python.exe -u scripts/finetune_retrieval.py --config C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\paper_final_joint_context_offset_only_seed42\resolved_configs\adaptation\pems08_joint_context_offset_only.yaml --source-checkpoint C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_joint_context_offset_only_v1_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt --epochs 8 --run-name paper_final_joint_context_offset_only_seed42/retrieval_adaptation/pems08 --seed 42
[2026-09-18 02:14:41] INFO T1 retrieval adaptation start | run=paper_final_joint_context_offset_only_seed42/retrieval_adaptation/pems08 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\paper_final_joint_context_offset_only_seed42\retrieval_adaptation\pems08
[2026-09-18 02:14:41] INFO Data | steps=17856 | nodes=170 | channels=1 | train/val/test=12200/1486/3273
[2026-09-18 02:14:41] INFO Transfer | stage=t1_head_adapter | source=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_joint_context_offset_only_v1_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt | source_fingerprint=fe9a2189a1dddc8c1c27e7b248da13216fe6de05ef56ca29c3159c3cfae5ed42 | graph_fingerprint=4b5345d012175b7f875409f84195048c08d29b5201b853c008768c628937f4bf
[2026-09-18 02:14:41] INFO Parameters | total=958,704 | trainable=66,208 | trainable_tensors=11 | prefixes=retrieval_head.pool_projection.,retrieval_head.pool_score.,retrieval_head.key_mlp.,retrieval_head.domain_adapter.
[2026-09-18 02:14:41] INFO Optimization | epochs=8 | batch_size=16 | lr=0.0003 | weight_decay=0.0001 | relation_weight=1.000 | distill_weight=0.050 | reconstruction_weight=0
[2026-09-18 02:14:41] INFO Epoch 001/008 started | train_batches=763 | val_batches=93
[2026-09-18 02:14:41] INFO Epoch 001 | train batch=1/763 | elapsed=0.0 min | eta=6.9 min
[2026-09-18 02:14:42] INFO Epoch 001 | train batch=10/763 | elapsed=0.0 min | eta=1.7 min
[2026-09-18 02:14:43] INFO Epoch 001 | train batch=20/763 | elapsed=0.0 min | eta=1.4 min
[2026-09-18 02:14:44] INFO Epoch 001 | train batch=30/763 | elapsed=0.1 min | eta=1.3 min
[2026-09-18 02:14:45] INFO Epoch 001 | train batch=40/763 | elapsed=0.1 min | eta=1.2 min
[2026-09-18 02:14:46] INFO Epoch 001 | train batch=50/763 | elapsed=0.1 min | eta=1.2 min
[2026-09-18 02:14:47] INFO Epoch 001 | train batch=60/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-18 02:14:47] INFO Epoch 001 | train batch=70/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-18 02:14:48] INFO Epoch 001 | train batch=80/763 | elapsed=0.1 min | eta=1.1 min
[2026-09-18 02:14:49] INFO Epoch 001 | train batch=90/763 | elapsed=0.1 min | eta=1.0 min
[2026-09-18 02:14:50] INFO Epoch 001 | train batch=100/763 | elapsed=0.2 min | eta=1.0 min
[2026-09-18 02:14:51] INFO Epoch 001 | train batch=110/763 | elapsed=0.2 min | eta=1.0 min
[2026-09-18 02:14:52] INFO Epoch 001 | train batch=120/763 | elapsed=0.2 min | eta=1.0 min
[2026-09-18 02:14:53] INFO Epoch 001 | train batch=130/763 | elapsed=0.2 min | eta=1.0 min
[2026-09-18 02:14:54] INFO Epoch 001 | train batch=140/763 | elapsed=0.2 min | eta=0.9 min
[2026-09-18 02:14:54] INFO Epoch 001 | train batch=150/763 | elapsed=0.2 min | eta=0.9 min
[2026-09-18 02:14:55] INFO Epoch 001 | train batch=160/763 | elapsed=0.2 min | eta=0.9 min
[2026-09-18 02:14:56] INFO Epoch 001 | train batch=170/763 | elapsed=0.3 min | eta=0.9 min
