[2026-09-17 20:46:46] INFO T1 retrieval adaptation start | run=paper_final_joint_context_offset_only_seed42/retrieval_adaptation/pems04 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\paper_final_joint_context_offset_only_seed42\retrieval_adaptation\pems04
[2026-09-17 20:46:46] INFO Data | steps=16992 | nodes=307 | channels=1 | train/val/test=11595/1400/3100
[2026-09-17 20:46:46] INFO Transfer | stage=t1_head_adapter | source=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_joint_context_offset_only_v1_transfer_hidden128_ffn2_b16_seed42\pretrain_best.pt | source_fingerprint=fe9a2189a1dddc8c1c27e7b248da13216fe6de05ef56ca29c3159c3cfae5ed42 | graph_fingerprint=efcbdc0fddbd1170bce9e4a8cdbe1c4f1f0e52dd327d8353e7ffc5fe8f69c79b
[2026-09-17 20:46:46] INFO Parameters | total=958,704 | trainable=66,208 | trainable_tensors=11 | prefixes=retrieval_head.pool_projection.,retrieval_head.pool_score.,retrieval_head.key_mlp.,retrieval_head.domain_adapter.
[2026-09-17 20:46:46] INFO Optimization | epochs=8 | batch_size=16 | lr=0.0003 | weight_decay=0.0001 | relation_weight=1.000 | distill_weight=0.050 | reconstruction_weight=0
[2026-09-17 20:46:46] INFO Epoch 001/008 started | train_batches=725 | val_batches=88
[2026-09-17 20:46:47] INFO Epoch 001 | train batch=1/725 | elapsed=0.0 min | eta=7.4 min
[2026-09-17 20:46:48] INFO Epoch 001 | train batch=10/725 | elapsed=0.0 min | eta=2.2 min
[2026-09-17 20:46:50] INFO Epoch 001 | train batch=20/725 | elapsed=0.1 min | eta=1.9 min
[2026-09-17 20:46:51] INFO Epoch 001 | train batch=30/725 | elapsed=0.1 min | eta=1.8 min
[2026-09-17 20:46:52] INFO Epoch 001 | train batch=40/725 | elapsed=0.1 min | eta=1.7 min
[2026-09-17 20:46:54] INFO Epoch 001 | train batch=50/725 | elapsed=0.1 min | eta=1.7 min
[2026-09-17 20:46:55] INFO Epoch 001 | train batch=60/725 | elapsed=0.1 min | eta=1.6 min
[2026-09-17 20:46:57] INFO Epoch 001 | train batch=70/725 | elapsed=0.2 min | eta=1.6 min
[2026-09-17 20:46:58] INFO Epoch 001 | train batch=80/725 | elapsed=0.2 min | eta=1.6 min
[2026-09-17 20:46:59] INFO Epoch 001 | train batch=90/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-17 20:47:01] INFO Epoch 001 | train batch=100/725 | elapsed=0.2 min | eta=1.5 min
[2026-09-17 20:47:02] INFO Epoch 001 | train batch=110/725 | elapsed=0.3 min | eta=1.5 min
[2026-09-17 20:47:04] INFO Epoch 001 | train batch=120/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-17 20:47:05] INFO Epoch 001 | train batch=130/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-17 20:47:06] INFO Epoch 001 | train batch=140/725 | elapsed=0.3 min | eta=1.4 min
[2026-09-17 20:47:08] INFO Epoch 001 | train batch=150/725 | elapsed=0.4 min | eta=1.4 min
[2026-09-17 20:47:09] INFO Epoch 001 | train batch=160/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-17 20:47:11] INFO Epoch 001 | train batch=170/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-17 20:47:12] INFO Epoch 001 | train batch=180/725 | elapsed=0.4 min | eta=1.3 min
[2026-09-17 20:47:13] INFO Epoch 001 | train batch=190/725 | elapsed=0.5 min | eta=1.3 min
[2026-09-17 20:47:15] INFO Epoch 001 | train batch=200/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-17 20:47:16] INFO Epoch 001 | train batch=210/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-17 20:47:18] INFO Epoch 001 | train batch=220/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-17 20:47:19] INFO Epoch 001 | train batch=230/725 | elapsed=0.5 min | eta=1.2 min
[2026-09-17 20:47:20] INFO Epoch 001 | train batch=240/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-17 20:47:22] INFO Epoch 001 | train batch=250/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-17 20:47:23] INFO Epoch 001 | train batch=260/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-17 20:47:25] INFO Epoch 001 | train batch=270/725 | elapsed=0.6 min | eta=1.1 min
[2026-09-17 20:47:26] INFO Epoch 001 | train batch=280/725 | elapsed=0.7 min | eta=1.1 min
[2026-09-17 20:47:27] INFO Epoch 001 | train batch=290/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-17 20:47:29] INFO Epoch 001 | train batch=300/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-17 20:47:30] INFO Epoch 001 | train batch=310/725 | elapsed=0.7 min | eta=1.0 min
[2026-09-17 20:47:32] INFO Epoch 001 | train batch=320/725 | elapsed=0.8 min | eta=1.0 min
[2026-09-17 20:47:33] INFO Epoch 001 | train batch=330/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-17 20:47:35] INFO Epoch 001 | train batch=340/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-17 20:47:36] INFO Epoch 001 | train batch=350/725 | elapsed=0.8 min | eta=0.9 min
[2026-09-17 20:47:37] INFO Epoch 001 | train batch=360/725 | elapsed=0.9 min | eta=0.9 min
[2026-09-17 20:47:39] INFO Epoch 001 | train batch=370/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-17 20:47:40] INFO Epoch 001 | train batch=380/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-17 20:47:42] INFO Epoch 001 | train batch=390/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-17 20:47:43] INFO Epoch 001 | train batch=400/725 | elapsed=0.9 min | eta=0.8 min
[2026-09-17 20:47:45] INFO Epoch 001 | train batch=410/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-17 20:47:46] INFO Epoch 001 | train batch=420/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-17 20:47:47] INFO Epoch 001 | train batch=430/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-17 20:47:49] INFO Epoch 001 | train batch=440/725 | elapsed=1.0 min | eta=0.7 min
[2026-09-17 20:47:50] INFO Epoch 001 | train batch=450/725 | elapsed=1.1 min | eta=0.7 min
[2026-09-17 20:47:52] INFO Epoch 001 | train batch=460/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-17 20:47:53] INFO Epoch 001 | train batch=470/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-17 20:47:55] INFO Epoch 001 | train batch=480/725 | elapsed=1.1 min | eta=0.6 min
[2026-09-17 20:47:56] INFO Epoch 001 | train batch=490/725 | elapsed=1.2 min | eta=0.6 min
[2026-09-17 20:47:57] INFO Epoch 001 | train batch=500/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-17 20:47:59] INFO Epoch 001 | train batch=510/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-17 20:48:00] INFO Epoch 001 | train batch=520/725 | elapsed=1.2 min | eta=0.5 min
[2026-09-17 20:48:02] INFO Epoch 001 | train batch=530/725 | elapsed=1.3 min | eta=0.5 min
[2026-09-17 20:48:03] INFO Epoch 001 | train batch=540/725 | elapsed=1.3 min | eta=0.4 min
