selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.5891338286717269,0.24851613099929715,604643
pretrained,kendall,0.4377010737127977,0.19188927763335134,604643
pretrained,recall_at_1,0.056932768592376,0.23171410930882685,604643
pretrained,ndcg_at_5,0.30173462725383005,0.22521934630027757,604643
pretrained,recall_at_5,0.18688118443445145,0.2077698584527707,604643
raw_l1,spearman,0.09239373504677997,0.14834266251802103,604643
raw_l1,kendall,0.06248067808835005,0.10062524073049763,604643
raw_l1,recall_at_1,0.01773277785403949,0.13197850750640722,604643
raw_l1,ndcg_at_5,0.15290967803252248,0.15409025163569448,604643
raw_l1,recall_at_5,0.07680962154527547,0.12233134331537816,604643
random,spearman,0.06438267929882864,0.1927278010229931,604643
random,kendall,0.04415121617082388,0.1316456344426152,604643
random,recall_at_1,0.0213216724579628,0.14445434829577875,604643
random,ndcg_at_5,0.16246212801443918,0.159966188391258,604643
random,recall_at_5,0.08274568629753426,0.12980211173406975,604643
