protocol,step,minutes,learned_mae,raw_l1_mae,random_mae,gain_vs_raw_l1,gain_vs_random
Broad causal (pretraining-aligned),1,5,2.3673052961116117,2.774661322390056,2.723449752518832,0.40735602627844436,0.3561444564072205
Broad causal (pretraining-aligned),2,10,2.685324016632275,3.1846838472810575,3.126505006535839,0.4993598306487823,0.4411809899035637
Broad causal (pretraining-aligned),3,15,2.8389890257322765,3.4256267070635276,3.384004693040808,0.586637681331251,0.5450156673085313
Broad causal (pretraining-aligned),4,20,3.001527944275653,3.667906994861176,3.6349095903981508,0.6663790505855229,0.6333816461224977
Broad causal (pretraining-aligned),5,25,3.116298298344377,3.889822423017983,3.862398530418196,0.7735241246736058,0.7461002320738186
Broad causal (pretraining-aligned),6,30,3.2466388971661555,4.108749744024616,4.085767325595438,0.8621108468584602,0.8391284284292828
Broad causal (pretraining-aligned),7,35,3.350318267009316,4.301399213997063,4.283782872054913,0.9510809469877466,0.933464605045597
Broad causal (pretraining-aligned),8,40,3.446033523463741,4.474248660311988,4.44378979485121,1.0282151368482473,0.9977562713874693
Broad causal (pretraining-aligned),9,45,3.5188932658418275,4.62861747011254,4.578816395855964,1.1097242042707127,1.0599231300141363
Broad causal (pretraining-aligned),10,50,3.5977379010948534,4.767817182696627,4.720183457397659,1.1700792816017733,1.1224455563028055
Broad causal (pretraining-aligned),11,55,3.6953352322836497,4.932286341438564,4.875951606567127,1.2369511091549144,1.1806163742834772
Broad causal (pretraining-aligned),12,60,3.82721567284081,5.1251847570723905,5.035420714282097,1.2979690842315805,1.2082050414412868
"Weekday ±1, same slot (deployment-like)",1,5,2.392225665636906,2.7809367506558718,2.7479827107771873,0.3887110850189659,0.3557570451402814
"Weekday ±1, same slot (deployment-like)",2,10,2.692556908713923,3.1588017838410742,3.106798292871903,0.4662448751271513,0.4142413841579802
"Weekday ±1, same slot (deployment-like)",3,15,2.894399010262682,3.4155733132961816,3.342912225386679,0.5211743030334994,0.448513215123997
"Weekday ±1, same slot (deployment-like)",4,20,3.0535290392354693,3.6333993867224055,3.5334837777694394,0.5798703474869362,0.4799547385339702
"Weekday ±1, same slot (deployment-like)",5,25,3.1879240702194243,3.8168341830794716,3.6890590993386994,0.6289101128600474,0.5011350291192751
"Weekday ±1, same slot (deployment-like)",6,30,3.3028949577005764,3.9792302708537766,3.818648157710931,0.6763353131532002,0.5157532000103546
"Weekday ±1, same slot (deployment-like)",7,35,3.4076075673011927,4.133349282921443,3.9409359770645946,0.7257417156202499,0.5333284097634019
"Weekday ±1, same slot (deployment-like)",8,40,3.4994078155382717,4.267646453249476,4.045325772225898,0.7682386377112045,0.5459179566876267
"Weekday ±1, same slot (deployment-like)",9,45,3.580158110834854,4.389132735307572,4.1327567157412455,0.8089746244727181,0.5525986049063913
"Weekday ±1, same slot (deployment-like)",10,50,3.6569883096449423,4.5009740097203,4.215269651090745,0.8439857000753581,0.5582813414458028
"Weekday ±1, same slot (deployment-like)",11,55,3.7219605212196885,4.600523604494409,4.284897366168864,0.8785630832747207,0.5629368449491756
"Weekday ±1, same slot (deployment-like)",12,60,3.7884163370852435,4.69923282497123,4.355168880665054,0.9108164878859868,0.5667525435798102
