protocol,metric,learned,raw_l1,random,gain_vs_raw_l1,gain_vs_random
Broad causal (pretraining-aligned),Spearman,0.5891338286717269,0.09239373504677997,0.06438267929882864,0.496740093624947,0.5247511493728982
Broad causal (pretraining-aligned),Kendall,0.4377010737127977,0.06248067808835005,0.04415121617082388,0.37522039562444764,0.3935498575419738
Broad causal (pretraining-aligned),Recall@1,0.056932768592376,0.01773277785403949,0.0213216724579628,0.03919999073833651,0.0356110961344132
Broad causal (pretraining-aligned),Recall@5,0.18688118443445145,0.07680962154527547,0.08274568629753426,0.11007156288917598,0.10413549813691719
Broad causal (pretraining-aligned),NDCG@5,0.30173462725383005,0.15290967803252248,0.16246212801443918,0.14882494922130757,0.13927249923939086
"Weekday ±1, same slot (deployment-like)",Spearman,0.5084688682974688,0.06063562120959115,0.0984648085309354,0.4478332470878777,0.4100040597665334
"Weekday ±1, same slot (deployment-like)",Kendall,0.3848708411984427,0.04219219568354552,0.0709444744948005,0.3426786455148972,0.3139263667036422
"Weekday ±1, same slot (deployment-like)",Recall@1,0.13121296368270202,0.05340010551680909,0.07840163534515408,0.07781285816589292,0.05281132833754794
"Weekday ±1, same slot (deployment-like)",Recall@5,0.4127070233295074,0.23930590332791957,0.2679949457695629,0.17340112000158786,0.14471207755994453
"Weekday ±1, same slot (deployment-like)",NDCG@5,0.44161970775081344,0.25391964368159975,0.29709242809368286,0.1877000640692137,0.14452727965713058
