selector,metric,mean,std,eligible_anchors
pretrained,spearman,0.5084688682974688,0.30620871252423315,604643
pretrained,kendall,0.3848708411984427,0.24136591306234373,604643
pretrained,recall_at_1,0.13121296368270202,0.33763311722090295,604643
pretrained,ndcg_at_5,0.44161970775081344,0.26982239201289904,604643
pretrained,recall_at_5,0.4127070233295074,0.23763165199990108,604642
raw_l1,spearman,0.06063562120959115,0.24364676863569282,604643
raw_l1,kendall,0.04219219568354552,0.17143705043939753,604643
raw_l1,recall_at_1,0.05340010551680909,0.2248300118925468,604643
raw_l1,ndcg_at_5,0.25391964368159975,0.21424212771780748,604643
raw_l1,recall_at_5,0.23930590332791957,0.18041819675738052,604642
random,spearman,0.0984648085309354,0.2685246233718735,604643
random,kendall,0.0709444744948005,0.18988120411912984,604643
random,recall_at_1,0.07840163534515408,0.26880256494378835,604643
random,ndcg_at_5,0.29709242809368286,0.23299607486284157,604643
random,recall_at_5,0.2679949457695629,0.19036304692382172,604642
