backbone,method,mae,rmse,mape,mae_gain_vs_base,mae_gain_percent
gwn,base_only,3.205326836958897,6.331973929550888,9.173329692305419,0.0,0.0
gwn,learned_full,3.081199676994402,6.165150038726736,8.728704189193026,0.12412715996449508,3.872527398243813
gwn,learned_simple,3.1737513869421496,6.212481302469243,9.054077093595739,0.03157545001674755,0.985092991225358
gwn,random_simple,3.194667759228789,6.280853035513009,9.129770356823183,0.010659077730108102,0.3325426164721806
gwn,raw_l1_simple,3.1973395145052006,6.294839341576753,9.119144504468181,0.0079873224536966,0.2491890175316628
stgcn,base_only,3.2311972554233024,6.509848630777009,9.077664586480548,0.0,0.0
stgcn,learned_full,3.063878155687881,6.171665925645605,8.656667091181964,0.16731909973542125,5.17823848279735
stgcn,learned_simple,3.1669834315839083,6.321170726279113,8.836227334992797,0.06421382383939411,1.9873074518003015
stgcn,random_simple,3.1993193358513423,6.403913083946228,8.950276960290926,0.03187791957196007,0.9865668064199908
stgcn,raw_l1_simple,3.2110668579316086,6.439070737689763,8.977621700250637,0.020130397491693763,0.6230011943067395
argcn,base_only,3.381707419368175,6.726970072644763,9.585755138233816,0.0,0.0
argcn,learned_full,3.1311512927469405,6.288034650158361,8.874459431590918,0.2505561266212344,7.409160389991613
argcn,learned_simple,3.2972583253852195,6.483995066060817,9.321964556075633,0.08444909398295541,2.4972324187269153
argcn,random_simple,3.3496130284235566,6.619589143741247,9.480780979881981,0.0320943909446183,0.949058773115703
argcn,raw_l1_simple,3.359265733706336,6.647392905300232,9.479138488822482,0.022441685661839017,0.6636199670411445
