group,metric,value
metrics,mae,2.934126615524292
metrics,rmse,6.0307159423828125
metrics,mape,0.08128248155117035
metrics,mae_15min,2.614841938018799
metrics,rmse_15min,5.0540571212768555
metrics,mape_15min,0.06737640500068665
metrics,mae_30min,2.9723706245422363
metrics,rmse_30min,6.065134525299072
metrics,mape_30min,0.08210740238428116
metrics,mae_60min,3.39567232131958
metrics,rmse_60min,7.1989922523498535
metrics,mape_60min,0.10117355734109879
gate,mean,0.5017246603965759
gate,std,0.04973459988832474
gate,min,0.16973280906677246
gate,max,0.9826958179473877
gate,frac_lt_0_1,0.0
gate,frac_lt_0_2,1.1383070630135054e-05
gate,frac_gt_0_8,0.004827066583800557
gate,frac_gt_0_9,0.0007242079234105575
gate,gate_q1,0.3474889987707138
gate,gate_q10,0.4717763364315033
gate,gate_q25,0.4853046238422394
gate,gate_q50,0.5000566840171814
gate,gate_q75,0.5152586698532104
gate,gate_q90,0.5286406874656677
gate,gate_q99,0.7159557348489756
gate_logit,mean,0.009188367053866386
gate_logit,std,0.2226535528898239
gate_logit,gate_logit_q1,-0.6300950074195861
gate_logit,gate_logit_q10,-0.11301472038030624
gate_logit,gate_logit_q25,-0.058798521757125854
gate_logit,gate_logit_q50,0.00022671037004329264
gate_logit,gate_logit_q75,0.06105368211865425
gate_logit,gate_logit_q90,0.11468834429979324
gate_logit,gate_logit_q99,0.9244881910085638
deviation,mean_abs,0.3664141595363617
deviation,std_abs,0.36724746227264404
deviation,deviation_abs_q1,0.12141195610165596
deviation,deviation_abs_q10,0.1477562040090561
deviation,deviation_abs_q25,0.1690901219844818
deviation,deviation_abs_q50,0.2102210521697998
deviation,deviation_abs_q75,0.3582294434309006
deviation,deviation_abs_q90,0.9536068081855774
deviation,deviation_abs_q99,1.8889731025695804
representation,correction_to_hc_mean,0.24125976860523224
representation,correction_to_hc_std,0.23528070747852325
representation,delta_to_hc_mean,0.4365672767162323
representation,anchor_gap_to_hc_mean,0.3478907346725464
correlation,gate_vs_deviation_abs,0.4375633837521954
correlation,gate_vs_prediction_error,0.562426208312302
correlation,deviation_abs_vs_prediction_error,0.7059232646010046
support,support_entropy_mean,0.5098259876723643
support,support_entropy_std,0.09699732465324579
support,support_row_max_mean,0.26356553520869325
support,support_static_cosine_mean,0.43507306774457294
support,support_static_cosine_std,0.033119641002957466
