prototype_id,count,pattern_label,start_value,end_value,std_mean
10,637515,increasing,56.946037,60.341412,13.961801
17,154090,rapidly decreasing,14.643102,6.629119,17.687998
13,31261,rapidly decreasing,36.159843,18.186848,30.038023
0,21780,rapidly decreasing,24.380632,3.851160,25.398451
4,817,rapidly decreasing,54.776775,24.809927,20.497259
9,399,gradually decreasing,37.888279,33.411358,18.116056
19,367,rapidly decreasing,46.616173,32.026783,18.954531
16,249,rapidly decreasing,50.601616,29.012531,22.014709
1,247,rapidly decreasing,37.687393,21.947849,27.870787
8,244,rapidly decreasing,51.956863,32.021282,19.953783
2,225,rapidly decreasing,42.129131,33.721592,13.762733
5,207,rapidly decreasing,34.617161,23.655878,26.141611
7,207,rapidly decreasing,35.136692,26.311014,15.844533
